param L:= 10; #Number of shipping centres
param P:= 180; #Number of packages to be shipped
param V:= 120; #Number of vehicle types
param K:= 18; #number of pairs of incompatible packages
param I: 1    2:=
	1  41  93
	2  30  79
	3  76  98
	4   1  15
	5  77  83
	6  38  126
	7  77  101
	8  22  54
	9  27  44
	10 108 178
	11 53  81
	12 118 162
	13 75  153
	14 8   117
	15 34	 72
	16 115 173
	17 66  113
	18 108 124;
param w:=
1	587
2	489
3	228
4	698
5	722
6	405
7	757
8	848
9	465
10	615
11	546
12	906
13	304
14	124
15	936
16	126
17	339
18	930
19	133
20	370
21	434
22	816
23	716
24	252
25	364
26	454
27	237
28	405
29	91
30	424
31	796
32	304
33	862
34	611
35	669
36	425
37	142
38	356
39	370
40	251
41	10
42	159
43	138
44	575
45	9
46	582
47	830
48	616
49	688
50	330
51	240
52	565
53	507
54	215
55	108
56	441
57	753
58	967
59	656
60	823
61	867
62	668
63	958
64	171
65	17
66	185
67	30
68	745
69	252
70	291
71	77
72	709
73	97
74	435
75	351
76	180
77	117
78	995
79	156
80	439
81	724
82	106
83	920
84	144
85	717
86	755
87	926
88	531
89	784
90	654
91	474
92	421
93	807
94	503
95	113
96	561
97	455
98	31
99	732
100	736
101	339
102	940
103	638
104	353
105	876
106	408
107	546
108	522
109	912
110	962
111	741
112	240
113	380
114	525
115	354
116	748
117	414
118	83
119	831
120	74
121	334
122	933
123	643
124	844
125	381
126	929
127	889
128	711
129	833
130	712
131	254
132	444
133	550
134	812
135	167
136	723
137	397
138	705
139	803
140	820
141	261
142	470
143	104
144	845
145	344
146	53
147	846
148	682
149	283
150	749
151	414
152	336
153	518
154	347
155	834
156	243
157	309
158	966
159	289
160	178
161	202
162	63
163	770
164	91
165	692
166	181
167	488
168	696
169	782
170	14
171	995
172	834
173	460
174	127
175	808
176	189
177	656
178	922
179	251
180	248; #weight of package
param s:=
1	5
2	7
3	5
4	4
5	5
6	1
7	6
8	8
9	4
10	7
11	6
12	5
13	2
14	5
15	5
16	1
17	9
18	8
19	7
20	3
21	7
22	9
23	5
24	9
25	9
26	2
27	5
28	1
29	6
30	7
31	5
32	4
33	5
34	2
35	10
36	7
37	9
38	4
39	4
40	2
41	4
42	2
43	3
44	5
45	8
46	5
47	6
48	5
49	10
50	8
51	7
52	9
53	3
54	9
55	4
56	2
57	6
58	3
59	9
60	7
61	9
62	3
63	2
64	2
65	8
66	4
67	8
68	4
69	7
70	7
71	4
72	2
73	10
74	5
75	7
76	7
77	1
78	6
79	7
80	6
81	3
82	9
83	1
84	1
85	1
86	4
87	6
88	9
89	1
90	9
91	6
92	2
93	4
94	7
95	4
96	7
97	1
98	7
99	5
100	1
101	1
102	1
103	5
104	6
105	9
106	10
107	7
108	3
109	1
110	4
111	3
112	5
113	4
114	1
115	9
116	5
117	8
118	4
119	9
120	4
121	10
122	4
123	1
124	3
125	8
126	4
127	1
128	8
129	2
130	7
131	9
132	8
133	6
134	1
135	4
136	6
137	8
138	1
139	9
140	5
141	10
142	7
143	9
144	6
145	2
146	6
147	10
148	9
149	3
150	3
151	10
152	2
153	7
154	10
155	4
156	2
157	7
158	2
159	4
160	10
161	5
162	4
163	6
164	3
165	6
166	4
167	9
168	5
169	3
170	10
171	6
172	9
173	9
174	3
175	10
176	7
177	5
178	3
179	2
180	8; #origin of package
param e:= 
1	8
2	6
3	4
4	10
5	9
6	6
7	4
8	3
9	1
10	6
11	5
12	6
13	9
14	1
15	8
16	9
17	6
18	3
19	10
20	7
21	2
22	8
23	1
24	4
25	2
26	10
27	7
28	5
29	8
30	3
31	9
32	3
33	1
34	10
35	6
36	3
37	6
38	8
39	2
40	3
41	7
42	3
43	10
44	7
45	9
46	3
47	4
48	1
49	4
50	1
51	6
52	10
53	8
54	8
55	6
56	4
57	3
58	1
59	6
60	1
61	4
62	10
63	8
64	6
65	4
66	9
67	5
68	1
69	8
70	1
71	5
72	10
73	6
74	3
75	2
76	3
77	10
78	3
79	3
80	7
81	8
82	3
83	10
84	7
85	3
86	6
87	3
88	1
89	9
90	10
91	8
92	9
93	7
94	4
95	9
96	1
97	7
98	3
99	10
100	3
101	10
102	10
103	2
104	7
105	8
106	7
107	10
108	6
109	4
110	6
111	10
112	1
113	9
114	9
115	10
116	2
117	3
118	1
119	3
120	2
121	1
122	8
123	5
124	6
125	4
126	8
127	7
128	10
129	7
130	10
131	6
132	4
133	3
134	7
135	1
136	10
137	6
138	6
139	2
140	8
141	9
142	9
143	2
144	7
145	3
146	9
147	5
148	2
149	8
150	2
151	7
152	9
153	2
154	6
155	9
156	6
157	8
158	5
159	3
160	6
161	2
162	1
163	7
164	7
165	8
166	10
167	4
168	7
169	6
170	5
171	1
172	1
173	10
174	4
175	9
176	8
177	10
178	6
179	8
180	5; #destination of package
param f:= 
1	116
2	143
3	129
4	134
5	129
6	115
7	140
8	134
9	117
10	116
11	124
12	139
13	125
14	141
15	122
16	136
17	137
18	115
19	128
20	130
21	120
22	131
23	130
24	129
25	135
26	117
27	119
28	127
29	126
30	134
31	115
32	147
33	149
34	140
35	119
36	139
37	145
38	134
39	139
40	112
41	120
42	130
43	115
44	122
45	124
46	143
47	118
48	138
49	131
50	134
51	148
52	143
53	143
54	143
55	137
56	131
57	137
58	118
59	129
60	131
61	118
62	138
63	112
64	123
65	133
66	126
67	136
68	149
69	116
70	137
71	141
72	115
73	142
74	126
75	129
76	123
77	144
78	116
79	119
80	141
81	123
82	126
83	142
84	127
85	120
86	145
87	148
88	142
89	140
90	137
91	143
92	131
93	112
94	110
95	120
96	129
97	124
98	145
99	140
100	118
101	146
102	115
103	111
104	128
105	145
106	115
107	136
108	140
109	146
110	147
111	127
112	145
113	136
114	148
115	131
116	143
117	129
118	121
119	148
120	116
121	136
122	141
123	143
124	116
125	127
126	136
127	119
128	144
129	120
130	117
131	117
132	148
133	120
134	141
135	116
136	124
137	118
138	122
139	119
140	128
141	135
142	145
143	126
144	140
145	120
146	125
147	117
148	142
